City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
290,Okato,NZ,2020-01-04 22:56:29,-39.19,173.88,63.0,60,100,10.0
291,Punta Alta,AR,2020-01-04 22:56:29,-27.46,-55.82,77.0,78,20,3.36
292,Kosum Phisai,TH,2020-01-04 22:56:30,16.25,103.07,69.8,77,4,4.7
293,Horta,BR,2020-01-04 22:56:30,-10.93,-37.66,82.4,69,95,11.41
294,La Libertad,PE,2020-01-04 22:56:30,-16.38,-71.56,57.2,82,75,5.82
295,Ugoofaaru,MV,2020-01-04 22:56:31,5.67,73.0,81.14,82,65,11.59
296,Marsa Matruh,EG,2020-01-04 22:54:05,31.35,27.25,50.0,76,20,11.41
297,Fairview,CA,2020-01-04 22:56:31,56.07,-118.38,15.8,61,75,12.75
298,Pangnirtung,CA,2020-01-04 22:56:32,66.15,-65.72,-5.8,63,20,21.92
299,Marienburg,DE,2020-01-04 22:56:32,52.12,9.98,39.99,93,75,4.7
300,Adamovka,RU,2020-01-04 22:56:32,51.52,59.94,10.9,97,94,9.93
301,Lingao,CN,2020-01-04 22:56:32,19.91,109.69,68.27,85,76,17.65
302,Shahr-E Kord,IR,2020-01-04 22:56:33,32.33,50.85,37.4,44,20,16.11
303,Hervey Bay,AU,2020-01-04 22:56:33,-25.3,152.85,84.99,57,40,5.82
304,Acapulco,MX,2020-01-04 22:56:33,16.86,-99.88,86.0,66,40,4.7
305,Ponta Do Sol,BR,2020-01-04 22:56:33,-20.63,-46.0,69.84,87,100,0.94
