City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches(last 3hrs),Snow inches(last 3hrs),Current Description
203,203,Nome,US,2020-01-05 11:19:58,30.04,-94.42,46.4,93,1,4.12,0.0,0.0,clear sky
204,204,Atyrau,KZ,2020-01-05 11:19:58,47.1,51.92,30.2,86,97,6.71,0.0,0.0,mist
205,205,Redcliffe,AU,2020-01-05 11:19:59,-31.94,115.94,82.4,30,0,16.11,0.0,0.0,clear sky
206,206,Chihuahua,MX,2020-01-05 11:17:18,28.66,-106.08,35.01,62,0,3.91,0.0,0.0,clear sky
207,207,Booue,GA,2020-01-05 11:19:59,-0.09,11.94,89.4,54,56,2.26,0.0,0.75,light rain
208,208,Matasaru,RO,2020-01-05 11:19:59,44.72,25.42,42.01,86,40,4.7,0.0,0.0,scattered clouds
209,209,Wajima,JP,2020-01-05 11:20:00,37.4,136.9,35.6,74,75,2.24,0.0,0.0,light shower snow
210,210,Lincoln,GB,2020-01-05 11:20:00,53.23,-0.54,48.0,87,75,9.17,0.0,0.0,broken clouds
211,211,Guerrero Negro,MX,2020-01-05 11:20:00,27.97,-114.04,56.26,68,0,2.26,0.0,0.0,clear sky
212,212,Barentu,ER,2020-01-05 11:20:01,15.11,37.59,83.93,35,13,10.83,0.0,0.0,few clouds
213,213,Diamantino,BR,2020-01-05 11:20:01,-14.4,-56.44,77.74,84,55,4.43,0.0,0.25,light rain
214,214,San Felipe,CL,2020-01-05 11:20:01,-32.75,-70.73,59.41,55,0,5.59,0.0,0.0,clear sky
215,215,Vinh,VN,2020-01-05 11:16:22,18.67,105.69,69.4,92,28,3.0,0.0,0.13,light rain
216,216,Yulara,AU,2020-01-05 11:20:02,-25.24,130.99,66.2,88,90,8.05,0.0,0.0,overcast clouds
217,217,Bethel,US,2020-01-05 11:20:02,60.79,-161.76,-13.0,69,20,4.7,0.0,0.0,few clouds
218,218,Burnie,AU,2020-01-05 11:20:02,-41.05,145.91,58.33,61,67,7.99,0.0,0.0,broken clouds
219,219,Dawlatabad,AF,2020-01-05 11:20:02,36.41,64.91,49.41,51,84,11.68,0.0,0.19,light rain
220,220,Azoyu,MX,2020-01-05 11:20:03,16.72,-98.73,72.54,70,87,3.15,0.0,0.0,overcast clouds
221,221,Pevek,RU,2020-01-05 11:20:03,69.7,170.27,-6.74,77,0,4.97,0.0,0.0,clear sky
222,222,Baleshwar,IN,2020-01-05 11:20:03,21.5,86.92,69.98,68,64,4.81,0.0,0.0,broken clouds
223,223,Palmeiras De Goias,BR,2020-01-05 11:20:04,-16.8,-49.93,76.15,81,47,11.41,0.0,0.0,scattered clouds
224,224,Peachland,CA,2020-01-05 11:20:04,49.77,-119.75,39.2,74,90,4.7,0.0,0.0,overcast clouds
